source,target
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS 
","hi there .#hello , what ?#hi , i feel#hi there . i ?
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # 
","oh . .#i love vegetables !#oh . . .#i love to bake .
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # 
","i do too#that is tough .#that is weird !#i do too .
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # 
","that sounds awesome#that is amazing .#that is nice .#that sounds like .
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # 
","that sounds fun .#that sounds great .#i ride too .#that is amazing .
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # 
","that is good .#that is good.#i have never happened .#i am an award .
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # 
","i am sure .#what is your contacts#what do ya ?#what do you subscribe
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # 
","that is awesome !#that is awesome .#that sounds like me#i have never heard .
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # 
","you better .#i have not .#i am writing .#you better gooe
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # i have not . i can cook any word you want me to # 
","that sounds really#that is good .#that sounds awesome .#that sounds really .
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # i have not . i can cook any word you want me to # what is your ethnicity ? i am white , and my hair is brown . # 
","i have brown#my hair brown#my ethnicity .#i am Caucasian .
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # i have not . i can cook any word you want me to # what is your ethnicity ? i am white , and my hair is brown . # i am asian and have no hair . # 
","that is cool .#that is great .#that is great !#i have brown .
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # i have not . i can cook any word you want me to # what is your ethnicity ? i am white , and my hair is brown . # i am asian and have no hair . # i love hairless asians . do you like carrots ? # 
","yes . you .#i love them !#i love them ?#yes . you ?
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # i have not . i can cook any word you want me to # what is your ethnicity ? i am white , and my hair is brown . # i am asian and have no hair . # i love hairless asians . do you like carrots ? # i love carrots . i eat carrots like a horse . # 
","that is great !#i love horse .#that is great .#that sounds great .
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # i have not . i can cook any word you want me to # what is your ethnicity ? i am white , and my hair is brown . # i am asian and have no hair . # i love hairless asians . do you like carrots ? # i love carrots . i eat carrots like a horse . # are you male or female ? # 
","i do you ?#i do not .#i do not know#i am not know .
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # i have not . i can cook any word you want me to # what is your ethnicity ? i am white , and my hair is brown . # i am asian and have no hair . # i love hairless asians . do you like carrots ? # i love carrots . i eat carrots like a horse . # are you male or female ? # i work as a gourmet cook who also has a pitch perfect voice . # 
","that sounds awesome#that is good !#that is good .#that sounds great .
"
"my mom is my best friend . # i have four sisters . # i believe that mermaids are real . # i love iced tea . CC  SS 
","hi there !#hi there .#i love tea .#i love tea !
"
"i got married last year . # i live on a boat . # my hair is colored purple . # i have my own salon . # i am a hair stylist . CC  SS hello , how are you doing ? # 
","i am great .#good . thank you .#i am great . .#i am doing good .
"
"my mom is my best friend . # i have four sisters . # i believe that mermaids are real . # i love iced tea . CC  SS hello , how are you doing ? # hi there , i am doing great thanks . where are you from ? # 
","i live close .#my mom is from#i am from us#i am from ca
"
"i got married last year . # i live on a boat . # my hair is colored purple . # i have my own salon . # i am a hair stylist . CC  SS hello , how are you doing ? # hi there , i am doing great thanks . where are you from ? # i am from socal , yourself ? # 
","do you ?#i live over town#i live overach#i am from civic
"
"my mom is my best friend . # i have four sisters . # i believe that mermaids are real . # i love iced tea . CC  SS hello , how are you doing ? # hi there , i am doing great thanks . where are you from ? # i am from socal , yourself ? # seattle . i have a houseboat here . i like socal weather though # 
","that is nice .#that is cool !#that is cool .#that sounds fun weather
"
"i got married last year . # i live on a boat . # my hair is colored purple . # i have my own salon . # i am a hair stylist . CC  SS hello , how are you doing ? # hi there , i am doing great thanks . where are you from ? # i am from socal , yourself ? # seattle . i have a houseboat here . i like socal weather though # that is awesome . the ocean is incredible ! i totally believe that mermaids are out in the sea # 
","that sounds fun#that sounds amazing .#that is great !#that is great .
"
"my mom is my best friend . # i have four sisters . # i believe that mermaids are real . # i love iced tea . CC  SS hello , how are you doing ? # hi there , i am doing great thanks . where are you from ? # i am from socal , yourself ? # seattle . i have a houseboat here . i like socal weather though # that is awesome . the ocean is incredible ! i totally believe that mermaids are out in the sea # lol definitely ! i just dyed my hair mermaid purple from free samples at my salon # 
","i am really#that sounds fun#i have curly#that is awesome .
"
"i got married last year . # i live on a boat . # my hair is colored purple . # i have my own salon . # i am a hair stylist . CC  SS hello , how are you doing ? # hi there , i am doing great thanks . where are you from ? # i am from socal , yourself ? # seattle . i have a houseboat here . i like socal weather though # that is awesome . the ocean is incredible ! i totally believe that mermaids are out in the sea # lol definitely ! i just dyed my hair mermaid purple from free samples at my salon # that is epic ! me and my four sisters would totally do the same thing ! ! # 
","i bet .#i am sure !#i am sure .#i bet ! !
"
"my mom is my best friend . # i have four sisters . # i believe that mermaids are real . # i love iced tea . CC  SS hello , how are you doing ? # hi there , i am doing great thanks . where are you from ? # i am from socal , yourself ? # seattle . i have a houseboat here . i like socal weather though # that is awesome . the ocean is incredible ! i totally believe that mermaids are out in the sea # lol definitely ! i just dyed my hair mermaid purple from free samples at my salon # that is epic ! me and my four sisters would totally do the same thing ! ! # oh yeah , i am a stylist here and i have lots of clients doing fantasy colors # 
","that is awesome !#that sounds cool .#that is fun though#that is awesome ! !
"
"i got married last year . # i live on a boat . # my hair is colored purple . # i have my own salon . # i am a hair stylist . CC  SS hello , how are you doing ? # hi there , i am doing great thanks . where are you from ? # i am from socal , yourself ? # seattle . i have a houseboat here . i like socal weather though # that is awesome . the ocean is incredible ! i totally believe that mermaids are out in the sea # lol definitely ! i just dyed my hair mermaid purple from free samples at my salon # that is epic ! me and my four sisters would totally do the same thing ! ! # oh yeah , i am a stylist here and i have lots of clients doing fantasy colors # oh nice ! my mom went to beauty school too # 
","that is wonderful !#i am really ?#that is pretty awesome#i am really expensive
"
"my mom is my best friend . # i have four sisters . # i believe that mermaids are real . # i love iced tea . CC  SS hello , how are you doing ? # hi there , i am doing great thanks . where are you from ? # i am from socal , yourself ? # seattle . i have a houseboat here . i like socal weather though # that is awesome . the ocean is incredible ! i totally believe that mermaids are out in the sea # lol definitely ! i just dyed my hair mermaid purple from free samples at my salon # that is epic ! me and my four sisters would totally do the same thing ! ! # oh yeah , i am a stylist here and i have lots of clients doing fantasy colors # oh nice ! my mom went to beauty school too # oh awesome ! well you guys are all set ! are you married ? # 
","i am not married#no i am too#i am dating .#i have a husband
"
"i got married last year . # i live on a boat . # my hair is colored purple . # i have my own salon . # i am a hair stylist . CC  SS hello , how are you doing ? # hi there , i am doing great thanks . where are you from ? # i am from socal , yourself ? # seattle . i have a houseboat here . i like socal weather though # that is awesome . the ocean is incredible ! i totally believe that mermaids are out in the sea # lol definitely ! i just dyed my hair mermaid purple from free samples at my salon # that is epic ! me and my four sisters would totally do the same thing ! ! # oh yeah , i am a stylist here and i have lots of clients doing fantasy colors # oh nice ! my mom went to beauty school too # oh awesome ! well you guys are all set ! are you married ? # she still braids my hair and we chit chat because she is literally my best friend # 
","i am not fun#that is really .#that is good .#that sounds awesome .
"
"my mom is my best friend . # i have four sisters . # i believe that mermaids are real . # i love iced tea . CC  SS hello , how are you doing ? # hi there , i am doing great thanks . where are you from ? # i am from socal , yourself ? # seattle . i have a houseboat here . i like socal weather though # that is awesome . the ocean is incredible ! i totally believe that mermaids are out in the sea # lol definitely ! i just dyed my hair mermaid purple from free samples at my salon # that is epic ! me and my four sisters would totally do the same thing ! ! # oh yeah , i am a stylist here and i have lots of clients doing fantasy colors # oh nice ! my mom went to beauty school too # oh awesome ! well you guys are all set ! are you married ? # she still braids my hair and we chit chat because she is literally my best friend # awww , that is precious . i feel the same way about my mom # 
","that is awesome#that is awesome .#i am married !#i am married .
"
