source,target
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS 
","hi , who wrote that poem ?   . \# hi , who wrote that poem ?   ?  ?
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # 
","i love to cook , and i am .  .  .   . \# i love to cook .  .
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # 
","i do n't like , i n't like carrots , i do n't like pickles \# i do n't like , i n't like carrots , i do n't like vinegar ,
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # 
","i am not a great writer .   . \# i am not a great writer .  
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # 
","i ride his bike to and from the office .   . . .   . \# i ride his bike to and from the office .   . . .   . .
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # 
","that is , i. e . i. am a moron .  .   . \# that is , i. e . i. am not allowed to use it .
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # 
","i have a lot of fun .   . \# i have a lot of fun .  
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # 
","i have a lot of fun .   is one of my all- time favourite books of \# i have a lot of fun .   .
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # 
","i am not a spelling mistake .  . \# i am not a spelling mistake . 
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # i have not . i can cook any word you want me to # 
","i am not a cook , but rather a chef .  . \# i am not a cook , but rather a chef . 
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # i have not . i can cook any word you want me to # what is your ethnicity ? i am white , and my hair is brown . # 
","i am not a white man , but i am a black man .  .   . \# i am not a white man , but i am a black man .  .  
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # i have not . i can cook any word you want me to # what is your ethnicity ? i am white , and my hair is brown . # i am asian and have no hair . # 
","i am not sure why .   . \# i am not sure why .  
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # i have not . i can cook any word you want me to # what is your ethnicity ? i am white , and my hair is brown . # i am asian and have no hair . # i love hairless asians . do you like carrots ? # 
","i do n't like . \# i do n't .
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # i have not . i can cook any word you want me to # what is your ethnicity ? i am white , and my hair is brown . # i am asian and have no hair . # i love hairless asians . do you like carrots ? # i love carrots . i eat carrots like a horse . # 
","i love to see you again .   . \# i love to see you again .  
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # i have not . i can cook any word you want me to # what is your ethnicity ? i am white , and my hair is brown . # i am asian and have no hair . # i love hairless asians . do you like carrots ? # i love carrots . i eat carrots like a horse . # are you male or female ? # 
","i am not a man of color , I am a man . \# i am not a man of color , I am a man of withered trees .
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # i have not . i can cook any word you want me to # what is your ethnicity ? i am white , and my hair is brown . # i am asian and have no hair . # i love hairless asians . do you like carrots ? # i love carrots . i eat carrots like a horse . # are you male or female ? # i work as a gourmet cook who also has a pitch perfect voice . # 
","i am not a woman , but I am very athletic , and i am strong . \# i am not a woman , but I am a man .
"
"my mom is my best friend . # i have four sisters . # i believe that mermaids are real . # i love iced tea . CC  SS 
","hi , who are you to tell me about it .   . . .   . \# hi , who are you to tell me about it ?
"
"i got married last year . # i live on a boat . # my hair is colored purple . # i have my own salon . # i am a hair stylist . CC  SS hello , how are you doing ? # 
","i am not a hair-trigger person .  . \# i am not a hair-trigger person . 
"
"my mom is my best friend . # i have four sisters . # i believe that mermaids are real . # i love iced tea . CC  SS hello , how are you doing ? # hi there , i am doing great thanks . where are you from ? # 
","i live in the moment . \# i live in the moment . i am not sure it matters .  .
"
"i got married last year . # i live on a boat . # my hair is colored purple . # i have my own salon . # i am a hair stylist . CC  SS hello , how are you doing ? # hi there , i am doing great thanks . where are you from ? # i am from socal , yourself ? # 
","i am not a big fan of sociable characters .  . .  . \# i am not a big fan of sociability .
"
"my mom is my best friend . # i have four sisters . # i believe that mermaids are real . # i love iced tea . CC  SS hello , how are you doing ? # hi there , i am doing great thanks . where are you from ? # i am from socal , yourself ? # seattle . i have a houseboat here . i like socal weather though # 
","i am not been able to find the houseboat soundtrack .   . . .   \# i am not been able to find the houseboat soundtrack .   . .
"
