question,answer
"hi , how are you doing ? i 'm getting ready to do some cheetah chasing to stay in shape .","['someday', ',', 'i', 'i', 'i', 'is', 'is', 'in', 'or', 'or']"
i am ! for my hobby i like to do canning or some whittling .,"['i', 'am', 'compromised', 'and', 'in', 'volley', 'for', 'in', 'for', 'or']"
that 's neat . when i was in high school i placed 6 th in 100 m dash !,"[""i'ven"", 'scare', 'my', 'i', 'i', 'and', 'in', 'in', '.', '.']"
i do not . but i do have a favorite meat since that is all i eat exclusively .,"['i', 'do', 'for', 'in', 'and', 'and', 'a', 'a', '.', '.']"
i would have to say its prime rib . do you have any favorite foods ?,"['i', 'don', 'too', 'for', 'comes', 'for', '.', '.', '.', '.']"
do you have anything planned for today ? i think i am going to do some canning .,"['its', 'rules', ',', 'i', 'i', 'and', 'in', 'in', 'or', 'all']"
i think i will can some jam . do you also play footfall for fun ?,"['i', 'don', 'i', 'for', 'comes', 'for', 'for', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
"hello , how are you today ?","['although', ',', 'i', 'is', 'is', 'is', 'me', '.', '.', '.']"
i 'm very good . did you watch the football games today ?,"['i', 'wait', 'in', 'in', 'comes', 'and', 'for', 'a', '.', '.']"
what do you do for a living ? i proofread for hallmark .,"['ocd', 'rules', ',', 'i', 'i', 'is', 'is', 'in', 'or', 'all']"
"books are my greatest pleasure , i have a nice little library i 'm building .","['black', 'makes', 'makes', 'i', 'i', 'is', 'is', 'all', 'or', 'or']"
i agree . have you seen goodfellas ?,"['i', 'help', 'like', 'for', 'in', 'and', 'every', 'every', '.', '.']"
i catch the football and hockey games .,"['i', 'help', 'in', 'for', 'for', 'for', '.', '.', '.', '.']"
i do . i travel extensively to europe and south america .,"['i', 'do', 'for', 'in', 'and', 'and', 'a', 'a', '.', '.']"
"ireland is very nice , japan is my next stop .","['summer', 'makes', 'my', 'i', 'i', 'is', 'in', 'in', 'in', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
"hello ! how are you ? i 'm about to have pizza , i 'm excited ! !","['penn', 'rules', 'makes', 'are', 'is', 'is', 'is', 'in', 'or', 'or']"
i like seafood but my favorite is meat and pizza . what do you do ?,"['i', 'like', 'endings', 'in', 'are', 'volley', 'for', 'every', 'for', '.']"
i bet that is fun ! i sell cars . it is new to me,"['i', 'help', 'during', 'for', 'in', 'for', 'a', 'every', '.', '.']"
"very rarely , i 'm happy when we do . i like to paint sports cars","['people', 'rules', 'makes', 'i', 'is', 'and', 'in', 'in', 'in', '.']"
"yes , pizza is my vice ! sour candy is good , also .","['until', 'cleats', 'i', 'i', 'i', 'is', 'in', 'in', 'or', 'or']"
how did you know that is my favorite ! what about you ?,"['regular', 'a', 'makes', 'i', 'is', 'is', 'for', 'in', 'is', 'or']"
"i like that , also . all pizza .","['i', 'like', 'paste', 'in', 'in', 'volley', '.', '.', '.', '.']"
"i mostly enjoy painting , but will often listen to music . you ?","['i', 'drink', 'any', 'for', 'in', 'and', 'for', 'every', 'for', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hi i have four siblings,"['my', ',', 'i', 'i', 'is', '.', '.', '.', '.', '.']"
i 'm doing good how about you ?,"['i', 'notice', 'when', 'for', 'for', 'and', 'every', 'every', '.', '.']"
oh that 's great i like to spend time drawing,"['until', 'a', ',', 'i', 'i', 'is', 'in', 'in', 'or', 'all']"
"the guitar that 's cool too , i have three other siblings .","['the', 'rules', 'i', 'i', 'i', 'i', 'is', 'in', 'or', 'all']"
going to the city that would be fun !,"['watching', 'is', 'is', 'is', 'is', 'is', 'is', 'is', 'is', '.']"
i do not know much about cows,"['i', 'work', 'for', 'in', 'and', 'for', 'a', '.', '.', '.']"
funny i mean i know that much,"['although', 'i', 'makes', 'i', 'comes', 'is', 'in', '.', '.', '.']"
how to milk a cow it what i do n't know,"['superman', 'makes', 'makes', 'are', 'is', 'is', 'in', 'in', 'in', 'all']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hey how are you today,"['righto', '.', ',', 'is', 'volley', '.', '.', '.', '.', '.']"
i 'm a boy . or a girl . or a cat ink anymore,"['i', 'blame', 'in', 'for', 'i', 'and', 'every', '.', '.', '.']"
i think i am bipolar but i also tell myself that its not possible .,"['i', 'don', 'i', 'i', 'comes', 'for', 'for', 'a', 'a', 'for']"
i like dogs sometimes but other times i just wanna scream,"['i', 'like', 'also', 'in', 'are', 'volley', 'and', 'in', 'for', 'or']"
i 'm the ultimate . the alpha and the omega,"['i', 'sleep', 'in', 'for', 'that', 'and', 'for', 'a', '.', '.']"
i climb trees because i 'm a spider monkey,"['i', 'd', 'i', 'to', 'that', 'volley', 'for', 'touches', 'a', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hello what are your plans today,"['although', ',', 'i', 'is', 'is', 'is', '.', '.', '.', '.']"
gon na go to the creek with my family !,"['regular', ',', 'i', 'i', 'i', 'is', 'in', 'in', 'or', 'all']"
"its fun during the day , i like it esp when i can bring beer !","['its', 'a', 'makes', 'i', 'i', 'is', 'is', 'in', 'or', 'all']"
"its nice to have simple pleasures , i love the simple things in life","['its', 'rules', 'makes', 'i', 'volley', 'is', 'in', 'in', 'or', 'all']"
"that is so cool ! i 'm more simple , i just like catching sunfish","[""i'ven"", 'a', 'my', 'i', 'i', 'is', 'in', 'in', 'or', 'all']"
"did i say beer , lol","['my', ',', 'i', 'i', 've', 'comes', '.', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
do u believe you can achieve anything because i do,"['its', 'a', 'makes', 'i', 'i', 'is', 'in', 'in', 'or', 'all']"
u should open your eyes so you can see better,"['regular', 'makes', 'makes', 'is', 'is', 'is', 'is', 'in', 'is', '.']"
thank you lol people like to say i 'm organized to lol,"['until', 'cleats', 'i', 'i', 'i', 'is', 'is', 'in', 'in', 'or']"
i do this mostly and watch football,"['i', 'do', 'for', 'in', 'and', 'and', 'a', '.', '.', '.']"
were u the coach or more of an assistant,"['although', 's', 'i', 'i', 'volley', 'is', 'in', 'in', '.', '.']"
sounds painful how big was the carrot,"['watching', 'is', 'is', 'i', 'is', 'is', 'me', '.', '.', '.']"
i thought carrots help with seeing,"['i', 'help', 'about', 'for', 'comes', 'volley', '.', '.', '.', '.']"
i 'd if i could but i got to watch jimmy fallon its my fav,"['i', 'don', 'fell', 'to', 'for', 'volley', 'for', 'touches', 'for', 'for']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
"i enjoy being a red head , what color is your hair ?","['i', 'enjoy', 'own', 'in', 'in', 'and', 'and', 'a', 'and', 'or']"
i am great thanks . do you have a nickname ?,"['i', 'am', 'compromised', 'in', 'in', 'for', 'every', '.', '.', '.']"
good job that must take patience ?,"['menudo', 'is', 'is', 'is', 'is', 'is', 'every', '.', '.', '.']"
i think i 've just found a cure for the common cold,"['i', 'don', 'i', 'for', 'comes', 'for', 'for', 'in', 'is', 'for']"
while singing in the shower i took my findings to the lab,"['regular', 'cleats', ',', 'i', 'i', 'is', 'in', 'in', 'or', 'all']"
"the revelation came to me in the shower yes , what is your name ?","['the', 'rules', 'i', 'i', 'i', 'i', 'is', 'in', 'or', 'or']"
i 'm angela my friends call me bubblegum,"['i', 'drink', 'are', 'for', 'volley', 'and', 'for', 'every', '.', '.']"
i just always chew gum even in the shower do you like to walk,"['i', 'make', 'in', 'in', 'comes', 'and', 'for', 'a', 'or', 'or']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hello . how are you today ?,"['someday', 'makes', 'my', 'i', 'i', 'is', 'in', '.', '.', '.']"
"i am , thank you . where do you live ? i am in a rural area .","['i', 'am', 'compromised', 'and', 'in', 'and', 'for', 'oakville', '.', '.']"
that is great . how old are you ? i am a woman and a little older .,"['someday', ',', 'makes', 'i', 'i', 'is', 'is', 'all', '.', '.']"
what is your favorite food ?,"['platinum', 'is', 'i', 'is', 'volley', 'ball', '.', '.', '.', '.']"
yummy ! mine is pasta . it is delicious .,"['rita', 'in', 'makes', 'is', 'is', 'is', 'every', '.', '.', '.']"
iphone for me . have you heard all the bad news about samsung this year ?,"['going', 'makes', 'is', 'is', 'is', 'is', 'is', 'is', 'is', '.']"
yes and ceo in prison for 5 years for bribery . retired here .,"['until', 'after', 'my', 'i', 'i', 'is', 'is', 'in', 'in', '.']"
retirement is easy ! but i did it to help people and be with my husband .,"['running', 'is', 'is', 'is', 'is', 'is', 'is', 'is', 'is', 'or']"
helping people is my real love . thank you for chatting with me !,"['helping', 'a', 'makes', 'is', 'is', 'volley', '.', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hi ! how are you doing today ?,"['someday', 'cleats', 'i', 'i', 'i', 'i', 'is', 'in', '.', '.']"
nice ! wish i could go anywhere ! i 've been confined to a bed,"['until', 'rules', ',', 'i', 'i', 'is', 'in', 'in', 'or', 'all']"
accident . so i just stay in bed . good thing i work from home ! . you ?,"['one', ',', 'i', 'i', 'i', 'is', 'in', '.', '.', '.']"
do you live by yourself ?,"['under', 'i', 'makes', 'i', 'is', 'is', '.', '.', '.', '.']"
"what did you do to get kicked out ? props to you for planning for college , btw !","['until', 'a', 'makes', 'i', 'is', 'is', 'is', 'in', 'or', 'or']"
comedies ! i like when my dog and cat come to bed with me to watch movies,"['grandma', 'chip', 'makes', 'i', 'is', 'is', 'is', 'in', 'for', 'or']"
"ca not do much from the bed , but computer games are great way to pass the time","['penn', 'makes', 'is', 'i', 'i', 'is', 'in', 'in', 'or', 'or']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
"hi , how is your day ? my cow is annoying me !","['my', 'cleats', 'i', 'i', 'are', 'is', 'is', 'in', 'or', 'or']"
its a cat that is black and white . do you have a cow ?,"['people', 'a', 'makes', 'i', 'is', 'is', 'me', '.', '.', '.']"
"oh no , you should drink french vanilla coffee . its my favorite !","['until', 'cleats', 'my', 'i', 'is', 'is', 'is', 'all', '.', '.']"
my boyfriend i have dated for ten years makes a lot of money .,"['my', 'released', 'my', 'and', 'comes', 'and', 'for', 'a', 'for', 'all']"
"sure ! oh my , i felt chalk for the first time today and it was nasty .","['the', 'rules', ',', 'i', 'i', 'and', 'in', 'in', 'or', 'or']"
tell me more about yourself . what do you like ?,"['since', 'my', 'i', 'i', 'is', 'every', '.', '.', '.', '.']"
what was the longest you ever ran ?,"['it', 's', 'makes', 'are', 'i', 'is', 'is', 'pop', '.', '.']"
that is so cool ! was it hard ?,"['someday', 'in', ',', 'i', 'i', 'is', 'in', 'in', 'or', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hello ! happy saturday . what are you up to ?,"['rita', 'rules', 'makes', 'is', 'is', 'every', '.', '.', '.', '.']"
me too . i am trying to do some homework but its boring .,"['regular', 'scare', 'i', 'i', 'i', 'is', 'in', 'in', 'in', '.']"
"its my senior year , so lots of homework . you graduate ?","['i', 'next', 'i', 'i', 'i', 'and', 'is', 'all', '.', '.']"
my brother worked at starbucks . he got fired .,"['my', 'preserving', 'my', 'are', 'are', 'for', 'every', '.', '.', '.']"
i 'm getting out of here . going to university of kentucky .,"['i', 'once', 'makes', 'is', 'comes', 'and', 'every', '.', '.', '.']"
i 've never thought of that . its in the city . less rednecks ?,"['i', 'notice', 'are', 'are', 'volley', 'and', 'for', 'all', 'every', '.']"
where do you live ? i 'm in ohio .,"['until', 'i', 'my', 'i', 'i', 'is', 'in', 'in', 'in', '.']"
nice ! keep portland weird . lots of good musicians came out of there .,"['rita', 'rules', 'my', 'i', 'i', 'is', 'all', 'every', '.', '.']"
business . my dad wants to give my brothers and i the biz one day .,"['paps', 'is', 'i', 'i', 'i', 'is', 'in', 'all', 'or', 'or']"
"nah , i just want to play music . i am in a band but dad says its not realistic .","['until', 'cleats', 'i', 'i', 'is', 'is', 'in', '.', '.', '.']"
"i 'm in a metal band , singer .","['i', 'help', 'in', 'are', 'i', 'and', 'for', 'every', '.', '.']"
my favorite song of judas priest is painkiller,"['my', 'name', 'and', 'is', 'is', 'and', 'in', 'in', '.', '.']"
just be you . it will all work out .,"['its', 'rules', 'makes', 'i', 'i', 'is', 'all', 'every', '.', '.']"
good advice . thanks for that .,"['regular', 'in', 'makes', 'is', 'volley', 'every', '.', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
guess what kind of dog i have ?,"['regular', 'is', 'i', 'i', 'i', 'is', 'is', 'all', '.', '.']"
"oh , well mine is a french bulldog . but he is a gentle giant","['until', 'cleats', 'i', 'i', 'is', 'is', 'in', '.', '.', '.']"
