source,target
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS 
","hello. What is the matter with you, sirrah ? # hello. What is the matter with you, sirrah, and # hello. What is the matter with you, sirrah, about#hello. What is the matter with you, sir, and why
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # 
","i. He is a good soldier, and a good friend.#i. He is a good soldier, and a good friend to#i. He is a good soldier, and a good soldier.#i. He is a good soldier. And a good soldier
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # 
","that is not to be found in this book. If it be# that is not to be found in this book. But I will # that is not to be found in this book. If you will # that is not to be found in this book. If you have
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # 
","i. He is a good soldier, a good soldier. # i. He is a good soldier, a good man. # i. He is a good soldier, and a good friend.# i. He is a good soldier, and a good friend to
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # 
","i. He is a good soldier, a good man. # i. He is a good soldier, a good soldier. # i. He is a good soldier, a good soldier, a # i. He is a good soldier, a good soldier, and
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # 
","that, that I have done to you. You have done to # that, that I have done to you. You are welcome to#that, that I have done to you. You have not done#that, that I have done to you. You are not welcome
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # 
","what is the matter with you, sir, and will you speak to#what is the matter with you, sir, and will you speak with#what is the matter with you, sirrah, and will you speak#what is the matter with you, sir, and will you be the
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # 
","i. He is a good soldier, and a good friend.#i. He is a good soldier, and a soldier for all #i. He is a good soldier, and a good friend to#i. He is a good soldier, and a good soldier.
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # 
","i. He is a good soldier. He is a good#i. He is a good soldier. He is a soldier#i. He is a good soldier. And a good soldier#i. He is a good soldier. And a good man
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # i have not . i can cook any word you want me to # 
","that is not to be found in this book. If it be#that is not to be found in this book. If you have#that is not to be trusted with you. If it be not#that is not to be trusted with you. If you will not
"
