source,target
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS 
","hi , i am jane . .#hi , i am jane . . i am jane .#hi , i am jane . is a gourmet meat .#hi , i am jane . . i am jane
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # 
","i love to cook. i am a gourmet. .#i love to cook. i am a gourmet.#i love to cook.#i love to cook,
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # 
","i do not like carrots.#i do not like carrots, but ihe briers .#i do not like carrots. i am allergic to carrots.#i do not like carrots. i am allergic .
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # 
","i am a very athletic young man, and you ?#i am a very athletic young man, and i sing to me ?#i am a very athletic young man.#i am a very athletic young man, and i sing to me .
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # 
","i ride my bike, too, but I do fear of heights.#i ride my bike, too, but I do fear of cars .#i ride my bike, too.#i ride my bike, too, but I do fear of heights,
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # 
","that is great .#that is awesome. .#that is awesome. . i ?#that is awesome. . i .
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # 
","i am a goner . i am not i am. .#i am a goner .#i am a goner . i am not i am not a fan#i am a goner . i am not i am.
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # 
","i have done. i have done a lot.#i have done. i have done a lot. i have been published#i have done. i have done a lot. i have been a#i have done. i have done a lot. i am very good
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # 
","i have been published. i have been published.#i have been published. i have been published. i have been published#i have been published. i have been published. i have won.#i have been published.
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # i have not . i can cook any word you want me to # 
","i am a chef . is a gourmet too .#i am a chef . is a gourmet good That is why#i am a chef . .#i am a chef . is a gourmet too
"
"as a child , i won a national spelling bee . # i have been published in the new yorker magazine . # i am a gourmet cook . # i have perfect pitch . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # i have not . i can cook any word you want me to # what is your ethnicity ? i am white , and my hair is brown . # 
","i am not sure of my ethnicity.#i am not sure of my ethnicity, but that is what I am#i am not sure of my ethnicity, but that is all i can#i am not sure of my ethnicity, but that is what I think
"
"i am very athletic . # i wear contacts . # i have brown hair . # i love bicycling . # i hate carrots . CC  SS hi ! i work as a gourmet cook . # i do not like carrots . i throw them away . # really . but , i can sing pitch perfect . # i also cook , and i ride my bike to work . # great ! i had won an award for spelling bee . # my contacts can see through what you are trying to sell me . # okay but i was published in new yorker once # you better not make any spelling mistakes . # i have not . i can cook any word you want me to # what is your ethnicity ? i am white , and my hair is brown . # i am asian and have no hair . # 
","i am not sure of what that is.#i am not sure of what that means .#i am not sure of what that is, but I am sure .#i am not sure of what that is, but I am not sure
"
